sample	phylum	read_count	contig_count	bin_count	contig_percent	bin_percent
ERR1135348	p__Thermoproteota	3	0	0	0.00	0.00
ERR1135348	p__Asgardarchaeota	1	0	0	0.00	0.00
ERR1135348	p__Micrarchaeota	1	0	0	0.00	0.00
ERR1135348	p__Methanobacteriota_B	1	0	0	0.00	0.00
ERR1135356	p__Bacteroidota	1444134	927942	276734	64.26	19.16
ERR1135356	p__Verrucomicrobiota	90070	54630	23	60.65	0.03
ERR1135356	p__Bacillota	844186	316885	43587	37.54	5.16
ERR1135356	p__Myxococcota	7585	341	0	4.50	0.00
ERR1135356	p__Spirochaetota	80012	33155	12851	41.44	16.06
ERR1135356	p__Planctomycetota	4119	131	0	3.18	0.00
ERR1135356	p__Pseudomonadota	30984	13251	6087	42.77	19.65
ERR1135356	p__Desulfobacterota_I	4394	226	0	5.14	0.00
ERR1135356	p__Campylobacterota	26768	13090	0	48.90	0.00
ERR1135356	p__Cyanobacteriota	13372	1207	0	9.03	0.00
ERR1135356	p__Actinomycetota	4364	461	15	10.56	0.34
ERR1135356	p__Fibrobacterota	2995	463	0	15.46	0.00
ERR1135356	p__Vulcanimicrobiota	354	18	0	5.08	0.00
ERR1135356	p__Elusimicrobiota	1133	3	0	0.26	0.00
ERR1135356	p__Bdellovibrionota_B	273	0	0	0.00	0.00
ERR1135356	p__Patescibacteriota	564	196	20	34.75	3.55
ERR1135356	p__Chlamydiota	197	0	0	0.00	0.00
ERR1135356	p__Chrysiogenota	146	3	0	2.05	0.00
ERR1135356	p__Synergistota	53	1	0	1.89	0.00
ERR1135356	p__Fusobacteriota	113	31	0	27.43	0.00
ERR1135356	p__Cloacimonadota	25	0	0	0.00	0.00
ERR1135356	p__Acidobacteriota	77	21	6	27.27	7.79
ERR1135356	p__Desulfobacterota	101	45	22	44.55	21.78
ERR1135356	p__Chloroflexota	80	7	0	8.75	0.00
ERR1135356	p__Thermotogota	9	0	0	0.00	0.00
ERR1135356	p__Bacteroidota_A	33	6	0	18.18	0.00
ERR1135356	p__Hydrogenedentota	4	0	0	0.00	0.00
ERR1135356	p__Caldisericota	65	0	0	0.00	0.00
ERR1135356	p__Nitrospinota	4	0	0	0.00	0.00
ERR1135356	p__UBA9089	3	0	0	0.00	0.00
ERR1135356	p__Gemmatimonadota	21	0	0	0.00	0.00
ERR1135356	p__Desulfobacterota_G	2	0	0	0.00	0.00
ERR1135356	p__UBA10199	2	0	0	0.00	0.00
ERR1135356	p__Eisenbacteria	5	0	0	0.00	0.00
ERR1135356	p__Omnitrophota	7	0	0	0.00	0.00
ERR1135356	p__Calditrichota	1	0	0	0.00	0.00
ERR1135356	p__Armatimonadota	9	0	0	0.00	0.00
ERR1135356	p__Nitrospirota	17	5	0	29.41	0.00
ERR1135356	p__Desulfobacterota_B	13	0	0	0.00	0.00
ERR1135356	p__Bdellovibrionota	5	0	0	0.00	0.00
ERR1135356	p__AUK180	3	0	0	0.00	0.00
ERR1135356	p__Sumerlaeota	4	0	0	0.00	0.00
ERR1135356	p__Zixibacteria	2	0	0	0.00	0.00
ERR1135356	p__Bipolaricaulota	2	0	0	0.00	0.00
ERR1135356	p__Muiribacteriota	6	2	0	33.33	0.00
ERR1135356	p__Methylomirabilota	5	0	0	0.00	0.00
ERR1135356	p__Fermentibacterota	1	0	0	0.00	0.00
ERR1135356	p__DUMJ01	1	0	0	0.00	0.00
ERR1135356	p__Zhuqueibacterota	2	0	0	0.00	0.00
ERR1135356	p__Deinococcota	8	0	0	0.00	0.00
ERR1135356	p__Myxococcota_A	3	0	0	0.00	0.00
ERR1135356	p__Hinthialibacterota	1	0	0	0.00	0.00
ERR1135356	p__SAR324	5	0	0	0.00	0.00
ERR1135356	p__Marinisomatota	3	0	0	0.00	0.00
ERR1135356	p__Sysuimicrobiota	1	0	0	0.00	0.00
ERR1135356	p__Babelota	3	0	0	0.00	0.00
ERR1135356	p__PUNC01	1	0	0	0.00	0.00
ERR1135356	p__Atribacterota	4	0	0	0.00	0.00
ERR1135356	p__Orphanbacterota	2	0	0	0.00	0.00
ERR1135356	p__Desulfobacterota_E	2	0	0	0.00	0.00
ERR1135356	p__JAAXVQ01	1	0	0	0.00	0.00
ERR1135356	p__CSSED10-310	1	0	0	0.00	0.00
ERR1135356	p__Electryoneota	3	0	0	0.00	0.00
ERR1135356	p__Margulisbacteria	4	0	0	0.00	0.00
ERR1135356	p__UBA3054	1	0	0	0.00	0.00
ERR1135356	p__UBA4055	4	4	0	100.00	0.00
ERR1135356	p__DYJV01	1	0	0	0.00	0.00
ERR1135356	p__Krumholzibacteriota	1	0	0	0.00	0.00
ERR1135356	p__Thermoplasmatota	8584	2156	0	25.12	0.00
ERR1135356	p__Methanobacteriota	2178	612	0	28.10	0.00
ERR1135356	p__Halobacteriota	49	17	0	34.69	0.00
ERR1135356	p__Thermoproteota	2	0	0	0.00	0.00
ERR1135356	p__Aenigmatarchaeota	1	0	0	0.00	0.00
ERR1135356	p__Nanobdellota	1	0	0	0.00	0.00
ERR1135356	p__Methanobacteriota_B	1	0	0	0.00	0.00
ERR1135361	p__Bacteroidota	1202731	715998	75718	59.53	6.30
ERR1135361	p__Bacillota	827287	295006	79740	35.66	9.64
ERR1135361	p__Verrucomicrobiota	33482	10499	0	31.36	0.00
ERR1135361	p__Spirochaetota	64691	19911	0	30.78	0.00
ERR1135361	p__Myxococcota	4245	137	0	3.23	0.00
ERR1135361	p__Actinomycetota	11391	4698	81	41.24	0.71
ERR1135361	p__Fibrobacterota	5741	336	0	5.85	0.00
ERR1135361	p__Pseudomonadota	15634	713	45	4.56	0.29
