sample	taxon	contig_p	bin_p
ERR8314745	d__Archaea	5.263157894736842	0.0
ERR8314749	d__Bacteria	58.26384523123187	8.89323976672567
ERR8314749	d__Archaea	12.428596157175004	0.0
ERR8314758	d__Bacteria	60.77079605475355	3.2879621773498258
ERR8314758	d__Archaea	12.083152880034648	0.0
ERR8314768	d__Bacteria	57.788626704913796	4.781343084373901
ERR8314768	d__Archaea	4.921077065923862	0.0
ERR8314772	d__Bacteria	53.22663791542032	3.6375971131576605
ERR8314772	d__Archaea	0.5145797598627788	0.0
ERR8314775	d__Bacteria	51.60729322010509	3.498447191642176
ERR8314775	d__Archaea	0.9548492702223434	0.0
ERR8314776	d__Bacteria	55.36290207160953	4.811654430621072
ERR8314776	d__Archaea	25.972836868609793	0.0
ERR8314777	d__Bacteria	51.64427081698392	5.596110713444098
ERR8314777	d__Archaea	1.3511046193171445	0.0
ERR8314780	d__Bacteria	58.882214417791786	2.36824351602418
ERR8314780	d__Archaea	8.692086920869208	0.0
SRR10209666	d__Bacteria	46.74785489672121	6.245185111155938
SRR10209666	d__Archaea	5.451586655817739	0.0
SRR10209670	d__Bacteria	51.911562127708734	9.741740126397287
SRR10209670	d__Archaea	6.002892960462874	0.3013500482160077
SRR10209676	d__Bacteria	67.4163940837555	17.580997668091495
SRR10209676	d__Archaea	83.18149964961458	72.45970567624387
SRR10209677	d__Bacteria	56.31064703100242	8.99212888535131
SRR10209677	d__Archaea	4.444444444444445	0.0
SRR10209687	d__Bacteria	66.70321755705609	18.124193440177432
SRR10209687	d__Archaea	20.292347377472055	2.160361134995701
SRR11124655	d__Bacteria	50.655532746541134	19.046878585679476
SRR11124655	d__Archaea	6.536856745479833	1.52990264255911
SRR11124666	d__Bacteria	39.335885275017674	11.197395608029076
SRR11124666	d__Archaea	0.0	0.0
SRR11124689	d__Bacteria	35.05092722096984	12.629374886874107
SRR11124689	d__Archaea	5.125618925362186	0.0
SRR11124700	d__Bacteria	30.39187998780577	7.386674995651596
SRR11124700	d__Archaea	71.31633798300466	0.0
SRR11124702	d__Bacteria	56.693680635639396	40.89823210148224
SRR11124702	d__Archaea	0.35658914728682173	0.0
SRR11124704	d__Bacteria	53.980776115840555	17.885024663855518
SRR11124704	d__Archaea	43.77668659265585	0.2134927412467976
