accession,assembly_f_unweighted,assembly_f_weighted,assembly_f_readmapped,assembly_f_readmapped_w,ref_f_unweighted,ref_f_weighted,f_reads_mapped,assembly_refmap_isect_w,yaml_n_bases,yaml_n_reads,yaml_kmers,yaml_known_hashes,yaml_unknown_hashes,yaml_total_hashes,w_isect_all,w_isect_matches,w_no_isect,w_isect_mapassem,w_mapassem_only,w_map_only,biome1,biome2,biome3
ERR9456921,0.0242705686497853,0.0450146627565982,0.0376763340050819,0.0596774193548387,0.1528958205555063,0.169721407624633,0.3508261343621571,0.0205278592375366,17340337,119230,11552398,1745,9668,11413,280,2315,10850,614,814,339,Environmental,Environmental:Aquatic,Environmental:Aquatic:Non-marine Saline and Alkaline
SRR1023996,0.2524089852827266,0.5697140083209492,0.604577846630519,0.7770765890660226,0.2679938032532888,0.5399950562721281,0.7546533109830476,0.4246543113178608,415237534,2593852,129203750,34598,94502,129100,142590,181319,58735,191298,260926,165201,Engineered,Engineered:Bioreactor,Engineered:Bioreactor:Continuous culture
SRR1024014,0.2745361656359236,0.5453451436407651,0.5357473633892026,0.6756223500272869,0.1762719966538194,0.2347928298560091,0.4833978782499141,0.1570742901921274,88924006,558784,33839195,5900,27571,33471,11225,16779,18024,38972,48282,11622,Engineered,Engineered:Bioreactor,Engineered:Bioreactor:Continuous culture
SRR10527384,0.2365281137297363,0.8697522475203067,0.7907661746876874,0.9708369680699802,0.2810854563598741,0.7300968140618781,0.9057168971914248,0.6931320942289948,9670917789,64950652,850148507,238571,610178,848749,5337916,5622588,163812,6698095,7476565,5561811,Host-associated,Host-associated:Plants,Host-associated:Plants:Phylloplane
SRR10810037,0.1770662672814563,0.94092694327812,0.8154566637903836,0.9901593607086212,0.2049522752412801,0.8869556462146804,0.9247927837407484,0.8689504445637635,9066332949,92199570,267556719,53917,209154,263071,5471648,5585024,50828,5924873,6234882,5573887,Host-associated,Host-associated:Insecta,Host-associated:Insecta:Digestive system
SRR11267050,0.1237703546778283,0.8520893402669893,0.8964232414767505,0.9898440647296084,0.1253256831270752,0.8123198999747321,0.910523692162517,0.7729283331840748,17406998186,116086786,1206739014,151326,1056136,1207462,10736664,11283848,117414,11836281,13749817,11260187,Host-associated,Host-associated:Insecta,Host-associated:Insecta:Digestive system
SRR11267079,0.1550517512627308,0.8541205522943763,0.8996273909083382,0.9930597756682612,0.1653307940713689,0.7757941206844601,0.9282195163003252,0.725059327071856,12598998370,84009980,602195384,99835,504015,603850,7350861,7865225,58094,8659321,10067927,7852957,Host-associated,Host-associated:Insecta,Host-associated:Insecta:Digestive system
SRR12456173,0.378167716427686,0.9052835966303412,0.6521692920656135,0.945048583244286,0.2682742779101067,0.7867217729600939,0.8275599559227608,0.7699063435172734,9404466593,63434100,744338422,201933,550778,752711,5786352,5912731,339202,6803801,7102661,5838937,Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system
SRR12479795,0.1553731329175033,0.3364209728360597,0.3009505392781087,0.4566817394184043,0.1650392220675132,0.2791624112176828,0.4224434075375501,0.1931959817781621,1979637659,14202068,742124580,122216,618311,740527,298692,431601,745571,520123,706056,337174,Environmental,Environmental:Aquatic,Environmental:Aquatic:Marine
SRR12480094,0.1140685923186521,0.3119561745253612,0.3355406705416617,0.5148136296349572,0.1597232121131782,0.3520683734941936,0.5065634335441916,0.2329356342138304,4708294963,38084030,1523590210,240911,1267392,1508303,829103,1253149,1547436,1110361,1832423,1073624,Environmental,Environmental:Aquatic,Environmental:Aquatic:Marine
SRR12908323,0.0303680187330428,0.9407826491988712,0.8817420378938836,0.9939138451394834,0.0309421684848073,0.9409737129907088,0.990118631828618,0.9394087569616107,4395488996,29308492,177964359,5497,172157,177654,3402376,3408044,22043,3407352,3599784,3408044,Engineered,Engineered:Lab enrichment,Engineered:Lab enrichment:Defined media
SRR12908327,0.0150514979933244,0.8830386569806425,0.7626712544441709,0.9752169126211984,0.015913137570348,0.8824680676949492,0.965152094225422,0.8818797398822398,4114665802,27441936,346076655,5559,343775,349334,2982930,2984920,83824,2986850,3298640,2984916,Engineered,Engineered:Lab enrichment,Engineered:Lab enrichment:Defined media
SRR15604576,0.4229311534843278,0.9204561350079936,0.7328252149841694,0.960170459054154,0.5774237761069513,0.9072340723657216,0.9467204914073052,0.8728039980621638,10479201198,69896234,809739320,470165,344081,814246,7325326,7614294,116704,7725264,8058582,7396714,Host-associated,Host-associated:Mammals,Host-associated:Mammals:Gastrointestinal tract
SRR1702229,0.1340915038899859,0.3557982518103902,0.3449381465607584,0.5202820460359584,0.132788610673969,0.2358980715553937,0.445197657224874,0.1607651951069806,1685639487,11437376,885989409,117206,765445,882651,215298,315918,566530,476488,696769,240004,Engineered,Engineered:Wastewater,Engineered:Wastewater:Industrial wastewater
SRR17255031,0.1523131173211021,0.3590874406523826,0.307059281732232,0.4864711140536739,0.0590687198205995,0.1216949951749026,0.2688762823792313,0.0895671564336022,5733420238,39010886,2383770052,140592,2239551,2380143,408009,554365,2254793,1635761,2216053,469858,Host-associated,Host-associated:Plants,Host-associated:Plants:Rhizosphere
