accession,ref_f_unweighted,ref_f_weighted,n_matches,biome3
ERR2044297,0.57392681210405,0.7039966560560754,1982,Host-associated:Birds:Digestive system
ERR2044644,0.6805766710353667,0.7640670165296214,1614,Host-associated:Birds:Digestive system
ERR209194,0.6931710401516876,0.8593325426731321,1638,Host-associated:Human:Digestive system
ERR209195,0.8333739639200125,0.8976982097186701,774,Host-associated:Human:Digestive system
ERR2094164,0.168723189293854,0.4184811790015867,6979,Environmental:Aquatic:Aquaculture
ERR2094165,0.0524112399168274,0.0684541124180558,5748,Environmental:Aquatic:Aquaculture
ERR2094166,0.1474027218707814,0.3001238469185442,5302,Environmental:Aquatic:Aquaculture
ERR2094167,0.1642585580040705,0.5091142223454395,5004,Environmental:Aquatic:Aquaculture
ERR2094168,0.1399648731514657,0.2931094594563392,6146,Environmental:Aquatic:Aquaculture
ERR2094169,0.1733078514754278,0.4288646387040454,6466,Environmental:Aquatic:Aquaculture
ERR2094170,0.1646009260006408,0.416976174461164,7254,Environmental:Aquatic:Aquaculture
ERR2094171,0.142938185376171,0.3041769576859684,2756,Environmental:Aquatic:Aquaculture
ERR2094172,0.1734365801747435,0.4171502552502322,2562,Environmental:Aquatic:Aquaculture
ERR2094173,0.1038594941477025,0.4257612679121035,2119,Environmental:Aquatic:Aquaculture
ERR2094174,0.1224552508257788,0.4287571190450703,2381,Environmental:Aquatic:Aquaculture
ERR2094175,0.1173364564429342,0.2612044340903621,3785,Environmental:Aquatic:Aquaculture
ERR2094176,0.1935274916488771,0.4073169967664874,8834,Environmental:Aquatic:Aquaculture
ERR209780,0.7607678657847227,0.8292403486924035,1130,Host-associated:Human:Digestive system
ERR210047,0.8378836377329819,0.8974512146555157,567,Host-associated:Human:Digestive system
ERR2102261,0.0179206722367443,0.7798273794649518,935,Engineered:Food production:Fermented beverages
ERR2114805,0.1511977975978827,0.319898074407387,3467,Host-associated:Plants:Phylloplane
ERR2126384,0.0120294798391957,0.8175796582616691,819,Engineered:Food production:Fermented beverages
ERR2135449,0.0123713406715954,0.8071757012728856,740,Engineered:Food production:Fermented beverages
ERR2135457,0.0146065621149615,0.7875381926479635,743,Engineered:Food production:Fermented beverages
