accession,ref_f_unweighted,ref_f_weighted,n_matches
ERR1869526,0.339486557678242,0.36801746569572624,8084
ERR1869527,0.4310335262672544,0.6693439255757959,9813
ERR1869528,0.4436551322242748,0.9149954798187201,13169
ERR1869529,0.43948165782901355,0.3951691915699907,6040
ERR1869530,0.38089767356790644,0.4923767889292999,7083
ERR1877474,0.7701352145794684,0.9706521148938481,2028
ERR1877475,0.7620236905950106,0.9712575468290418,2108
ERR1877476,0.7728648409241718,0.9684574461609632,2046
ERR1877477,0.8091743119265818,0.9668180598673872,1415
ERR1877478,0.7896868671132256,0.973720716088064,1625
ERR1877479,0.7784533254243828,0.9733713200379867,1885
ERR1877480,0.7640575079871246,0.981454315780895,1996
ERR1877481,0.7459372485919198,0.9811107964054896,1994
ERR1877482,0.768527388313022,0.9807502877962522,1816
ERR1999834,0.9125082617315784,0.9295156832111525,1650
ERR2017147,0.438115414851009,0.6027558235574566,14054
ERR2020034,0.5589557374406441,0.8046077888203021,12893
ERR2044295,0.7585975988901992,0.8194749282458214,3662
ERR2044297,0.7396608257233757,0.8268858116805047,4959
ERR2044644,0.8037316110511425,0.8644988430154671,3206
ERR209194,0.8059217558610604,0.9223379560740432,3635
ERR209195,0.9051834470988834,0.9518451300665457,1215
ERR2094164,0.48305058815961055,0.6542219105575444,49774
ERR2094165,0.3485963344767489,0.3565347128411678,64486
ERR2094166,0.4289010449537206,0.5654317474906375,41677
ERR2094167,0.43035254315417243,0.6801525389897736,38930
ERR2094168,0.42067894570683917,0.5616558655577504,49523
ERR2094169,0.44016397578908684,0.632264182715743,46639
ERR2094170,0.4796916208047232,0.6533642625406048,51679
ERR2094171,0.4145174292617014,0.518414696276349,28427
ERR2094172,0.4215091766322879,0.6526273511982893,22265
ERR2094173,0.36548112271685834,0.6090957659943903,23160
ERR2094174,0.3710382434822808,0.6105719712744669,23296
ERR2094175,0.3740131538046759,0.47287310643674285,36597
ERR2094176,0.4436581313322507,0.6119665635462135,50907
ERR209780,0.8488418530350618,0.9000462090783066,1961
ERR210047,0.8959469417832915,0.9403358868591633,944
ERR2102261,0.35065869921291715,0.8859805536777594,34290
ERR2114805,0.46589075823860765,0.5875478004923891,23586
ERR2126384,0.3381291488310933,0.9061420683321746,33087
ERR2135449,0.3627562388585568,0.9145652710113293,30504
ERR2135457,0.35838092087240775,0.8898904269703629,32966
ERR2135518,0.37449268683463444,0.9077274934633845,31754
ERR2144879,0.2661491958052534,0.38958940765143196,5090
ERR2144890,0.30832755260448774,0.4715893870990925,5527
ERR2168953,0.4245357928163906,0.5150909388825168,6666
ERR2168978,0.4209529468558561,0.47652983862233295,5648
ERR2198710,0.692430188249922,0.9679440514794904,4382
ERR2200468,0.6356518829691655,0.6708588458715905,24587
ERR2200478,0.6419332596754423,0.6792735363983522,22461
ERR2215867,0.35218904449646254,0.38280876956990234,55098
ERR2241625,0.6512564058891893,0.7859869456560228,26864
ERR2241626,0.6525129982665998,0.7841200237819347,28468
ERR2241629,0.5306566561835775,0.7081409675526228,47605
ERR2241633,0.5102216451258935,0.7356743182977368,55503
ERR2241639,0.4991871077221331,0.8777067978352479,24874
ERR2241645,0.4609305577807202,0.878062466397908,21946
ERR2241648,0.517877410612631,0.745766810907979,50571
ERR2241650,0.5489988768161137,0.6954495545770463,46009
ERR2241654,0.5092250085526887,0.6887370720009734,61236
ERR2241656,0.5143844810969864,0.6757651623409118,58275
ERR2241660,0.5360698454530978,0.671959519745838,44908
ERR2241662,0.5822884468041237,0.7195500286582844,26839
ERR2241663,0.5145343202357439,0.6268557771619213,52610
ERR2241666,0.625139028696428,0.7901232629875773,40236
ERR2241667,0.5826226141414079,0.7653419774915102,47780
