accession,ref_f_unweighted,ref_f_weighted,n_matches,biome3
ERR1512994,0.6741603678,0.7306639813,6283,Engineered:Wastewater:Water and sludge
ERR1512995,0.7021565111,0.798682387,4874,Engineered:Wastewater:Water and sludge
ERR1512997,0.6712158809,0.7340354742,5859,Engineered:Wastewater:Water and sludge
ERR1512998,0.6980297547,0.7716167589,5525,Engineered:Wastewater:Water and sludge
ERR1513003,0.6922579978,0.8082344687,7716,Engineered:Wastewater:Water and sludge
ERR1513004,0.6741828459,0.7470072268,10290,Engineered:Wastewater:Water and sludge
ERR1513005,0.6678498463,0.7460873055,10563,Engineered:Wastewater:Water and sludge
ERR1513006,0.6771989189,0.747721938,9894,Engineered:Wastewater:Water and sludge
ERR1513007,0.6899937184,0.7758573325,8912,Engineered:Wastewater:Water and sludge
ERR1514427,0.6286182898,0.6927992337,10068,Engineered:Wastewater:Water and sludge
ERR1514428,0.6424493291,0.7103311964,10739,Engineered:Wastewater:Water and sludge
ERR1514429,0.6818017801,0.7644463142,10865,Engineered:Wastewater:Water and sludge
ERR1514430,0.6635755791,0.7569146549,10484,Engineered:Wastewater:Water and sludge
ERR1525434,0.7002441218,0.7538168746,3863,Engineered:Wastewater:Water and sludge
ERR1525436,0.6892328861,0.7530845276,6627,Engineered:Wastewater:Water and sludge
ERR1525437,0.7034011869,0.7667743921,3817,Engineered:Wastewater:Water and sludge
ERR1525438,0.6810007819,0.7551004223,6050,Engineered:Wastewater:Water and sludge
ERR1525439,0.628903944,0.6784093583,8518,Engineered:Wastewater:Water and sludge
ERR1525440,0.6655627584,0.7303566724,9743,Engineered:Wastewater:Water and sludge
ERR1525441,0.7699198988,0.8165329513,4522,Engineered:Wastewater:Water and sludge
ERR1525442,0.7409937641,0.8098333045,5588,Engineered:Wastewater:Water and sludge
ERR1525443,0.6983026308,0.7802405279,10893,Engineered:Wastewater:Water and sludge
ERR1525444,0.7155979936,0.7763678389,7244,Engineered:Wastewater:Water and sludge
ERR1525445,0.6672878668,0.7377159408,10791,Engineered:Wastewater:Water and sludge
ERR1525446,0.718083076,0.7837904752,6604,Engineered:Wastewater:Water and sludge
ERR1543776,0.7101572739,0.776134085,3154,Host-associated:Birds:Digestive system
ERR1543784,0.7328186306,0.8070721672,3188,Host-associated:Birds:Digestive system
ERR1543785,0.717856887,0.8092115014,2861,Host-associated:Birds:Digestive system
ERR1543794,0.7843337949,0.8177477945,3358,Host-associated:Birds:Digestive system
ERR1543994,0.5742226183,0.8893383271,6980,Host-associated:Human:Digestive system
ERR1544002,0.6537554854,0.8941415298,11828,Host-associated:Human:Digestive system
ERR1562574,0.7094003666,0.8997703177,8264,Host-associated:Mammals:Digestive system
ERR1620360,0.8858620409,0.9752991045,4657,Host-associated:Human:Digestive system
ERR1725402,0.7926158156,0.8714069592,3974,Host-associated:Birds:Digestive system
ERR1726683,0.2773015219,0.4095558877,58302,Environmental:Aquatic:Marine
ERR1726689,0.2560706791,0.2609208443,44366,Environmental:Aquatic:Marine
ERR1726712,0.2513751362,0.2843519869,92445,Environmental:Aquatic:Marine
ERR1726799,0.2706161405,0.3321822747,62059,Environmental:Aquatic:Marine
ERR1726902,0.2703329256,0.2859246083,53247,Environmental:Aquatic:Marine
ERR1726914,0.2977285064,0.398925391,111297,Environmental:Aquatic:Marine
ERR1726918,0.2635345457,0.2845613288,83030,Environmental:Aquatic:Marine
ERR1731826,0.7372994158,0.8990803119,3973,Host-associated:Birds:Digestive system
ERR1731834,0.7678011383,0.8607566867,4067,Host-associated:Birds:Digestive system
ERR1736742,0.8131170663,0.8566265523,2350,Host-associated:Birds:Digestive system
ERR1736743,0.8132576935,0.8742331288,3817,Host-associated:Birds:Digestive system
ERR1736747,0.8200542185,0.8851653681,4422,Host-associated:Birds:Digestive system
ERR1855278,0.2961822915,0.3503097728,9155,Environmental:Aquatic:Marine
ERR1864492,0.1915466114,0.2795610278,3030,Host-associated:Fish:Digestive system
ERR1868831,0.2880148467,0.5308722389,3441,Host-associated:Fish:Digestive system
ERR1868832,0.2516631322,0.7942847873,6567,Host-associated:Fish:Digestive system
ERR1868835,0.2263834149,0.4493667371,9933,Host-associated:Fish:Digestive system
ERR1868836,0.2286157254,0.4053417183,4116,Host-associated:Fish:Digestive system
ERR1868837,0.262357849,0.3540503275,3501,Host-associated:Fish:Digestive system
ERR1868838,0.2409773093,0.5197075314,4291,Host-associated:Fish:Digestive system
ERR1868839,0.1982022317,0.3650078397,13428,Host-associated:Fish:Digestive system
ERR1868840,0.2509918519,0.6985454324,8724,Host-associated:Fish:Digestive system
ERR1868841,0.2933005099,0.8189082394,1363,Host-associated:Fish:Digestive system
ERR1868842,0.2300823239,0.566678861,11438,Host-associated:Fish:Digestive system
ERR1868843,0.1965567019,0.2596755046,7695,Host-associated:Fish:Digestive system
ERR1868844,0.2264137835,0.7659909034,2817,Host-associated:Fish:Digestive system
ERR1868846,0.1764167074,0.1867183382,7271,Host-associated:Fish:Digestive system
ERR1868847,0.1885296082,0.199830497,5838,Host-associated:Fish:Digestive system
ERR1868848,0.3209033613,0.3601332638,915,Host-associated:Fish:Digestive system
ERR1868852,0.2591411736,0.1946335964,4953,Host-associated:Fish:Digestive system
ERR1868853,0.3128274995,0.451649677,4182,Host-associated:Fish:Digestive system
ERR1868854,0.3867529501,0.4675484866,1786,Host-associated:Fish:Digestive system
ERR1868855,0.2584150691,0.7106537924,3718,Host-associated:Fish:Digestive system
ERR1868857,0.2973088424,0.8847710974,1703,Host-associated:Fish:Digestive system
ERR1868860,0.2968081312,0.8016566137,2683,Host-associated:Fish:Digestive system
ERR1869526,0.3394865577,0.3680174657,8084,Engineered:Food production:Fermented vegetables
ERR1869527,0.4310335263,0.6693439256,9813,Engineered:Food production:Fermented vegetables
ERR1869528,0.4436551322,0.9149954798,13169,Engineered:Food production:Fermented vegetables
ERR1869529,0.4394816578,0.3951691916,6040,Engineered:Food production:Fermented vegetables
ERR1869530,0.3808976736,0.4923767889,7083,Engineered:Food production:Fermented vegetables
ERR1877474,0.7701352146,0.9706521149,2028,Engineered:Modeled:Simulated communities (microbial mixture)
ERR1877475,0.7620236906,0.9712575468,2108,Engineered:Modeled:Simulated communities (microbial mixture)
ERR1877476,0.7728648409,0.9684574462,2046,Engineered:Modeled:Simulated communities (microbial mixture)
ERR1877477,0.8091743119,0.9668180599,1415,Engineered:Modeled:Simulated communities (microbial mixture)
ERR1877478,0.7896868671,0.9737207161,1625,Engineered:Modeled:Simulated communities (microbial mixture)
ERR1877479,0.7784533254,0.97337132,1885,Engineered:Modeled:Simulated communities (microbial mixture)
ERR1877480,0.764057508,0.9814543158,1996,Engineered:Modeled:Simulated communities (microbial mixture)
ERR1877481,0.7459372486,0.9811107964,1994,Engineered:Modeled:Simulated communities (microbial mixture)
ERR1877482,0.7685273883,0.9807502878,1816,Engineered:Modeled:Simulated communities (microbial mixture)
ERR1999834,0.9125082617,0.9295156832,1650,Host-associated:Human:Digestive system
ERR2017147,0.4381154149,0.6027558236,14054,Environmental:Aquatic:Marine
ERR2020034,0.5589557374,0.8046077888,12893,Host-associated:Mammals:Digestive system
ERR2044295,0.7585975989,0.8194749282,3662,Host-associated:Birds:Digestive system
ERR2044297,0.7396608257,0.8268858117,4959,Host-associated:Birds:Digestive system
ERR2044644,0.8037316111,0.864498843,3206,Host-associated:Birds:Digestive system
