accession,ref_f_unweighted,ref_f_weighted,n_matches,biome3
ERR2241722,0.5856777027453823,0.6718099618609568,43274,Host-associated:Animal:Digestive system
ERR2241723,0.5281014983634476,0.7305203515740918,56731,Host-associated:Animal:Digestive system
ERR2241724,0.5918164776477772,0.710695020969819,44688,Host-associated:Animal:Digestive system
ERR2241728,0.5866342040008283,0.8832479843939525,22987,Host-associated:Animal:Digestive system
ERR2241731,0.5583220817179114,0.8391411676498465,29868,Host-associated:Animal:Digestive system
ERR2241732,0.5552837789968497,0.8633141918982704,15069,Host-associated:Animal:Digestive system
ERR2241733,0.5457503561150759,0.7634209871039924,23920,Host-associated:Animal:Digestive system
ERR2241736,0.5461210877368152,0.7755873019994325,27097,Host-associated:Animal:Digestive system
ERR2241737,0.6277399400394149,0.8658588670337243,32574,Host-associated:Animal:Digestive system
ERR2241743,0.60225495880085,0.8552626150422259,30895,Host-associated:Animal:Digestive system
ERR2241746,0.6242626659838226,0.773748000637157,39195,Host-associated:Animal:Digestive system
ERR2241757,0.6529604239153896,0.7977664055015394,37806,Host-associated:Animal:Digestive system
ERR2241760,0.6626323369630229,0.870544930642795,26569,Host-associated:Animal:Digestive system
ERR2241762,0.5190200951233762,0.8849331426083712,17726,Host-associated:Animal:Digestive system
ERR2241764,0.5484747909242972,0.9313113508672282,15525,Host-associated:Animal:Digestive system
ERR2241768,0.5904653291512888,0.7379629707944617,43846,Host-associated:Animal:Digestive system
ERR2241769,0.6201220135641768,0.7840574495554706,44406,Host-associated:Animal:Digestive system
ERR2241770,0.5261036115149086,0.8604839434408481,20494,Host-associated:Animal:Digestive system
ERR2241772,0.6468192045607017,0.787522587032425,37846,Host-associated:Animal:Digestive system
ERR2241773,0.6401429422272455,0.7783785923368629,39424,Host-associated:Animal:Digestive system
ERR2241775,0.633006103094727,0.7674728414765999,40793,Host-associated:Animal:Digestive system
ERR2241778,0.6146229851023967,0.7568561457597363,43992,Host-associated:Animal:Digestive system
ERR2241779,0.6523595424430932,0.8064391957822721,39252,Host-associated:Animal:Digestive system
ERR2241784,0.5758107172444039,0.8640330065324797,26176,Host-associated:Animal:Digestive system
ERR2241786,0.653662603918534,0.7781563527446044,28790,Host-associated:Animal:Digestive system
ERR2241787,0.6560385542166765,0.7822737445204229,28571,Host-associated:Animal:Digestive system
ERR2241789,0.5620687472299335,0.7303777731201849,40087,Host-associated:Animal:Digestive system
ERR2241791,0.4471766145834679,0.8944323235443657,15598,Host-associated:Animal:Digestive system
ERR2241792,0.5531404528830682,0.7327590875186257,36444,Host-associated:Animal:Digestive system
ERR2241793,0.5167107416121569,0.7264007234742574,56330,Host-associated:Animal:Digestive system
